"","ACCIDENT_NO","LONGITUDE","LATITUDE"
"51698","T20170024915",142.4685817,-38.38348877
"60194","T20180017601",144.81243059,-37.86408737
"36648","T20170001864",146.35581534,-36.3866879
"51964","T20180010220",145.48509541,-38.15528776
"25815","T20160010265",147.4764076,-36.15200504
"65996","T20190009684",145.01114843,-37.69635846
"22970","T20160000128",145.02887927,-37.80748351
"8184","T20150002631",144.901248,-37.87126843
"64996","T20190004330",144.73263932,-37.86965687
"17296","T20150019441",145.01226564,-37.76465137
"30671","T20160015764",144.97036983,-37.79797105
"72427","T20160017592",145.00753913,-37.81560087
"73844","T20170008506",145.14372193,-37.78702281
"51658","T20170014293",144.88828405,-38.39232769
"50436","T20170024110",145.0590999,-37.96738147
"19992","T20150024136",145.09300455,-37.88068396
"34646","T20160025536",145.54072192,-37.34494591
"7852","T20150000304",145.09450744,-37.60846696
"55080","T20170020686",143.17524794,-34.72683947
"29069","T20160010288",146.49904893,-38.19789424
"50831","T20170012540",144.88925855,-37.79860461
"50897","T20180000136",145.93197279,-38.16980858
"46198","T20170023928",145.08447146,-37.91387378
"48434","T20170020457",144.99070565,-37.86658991
"41842","T20170007134",145.2815592,-37.79440023
"34048","T20160024586",144.97107403,-37.77529264
"16608","T20150020211",144.37677058,-38.17966987
"5592","T20140024566",144.96893791,-37.83690516
"45569","T20170018699",145.46324396,-37.92338291
"42515","T20170008452",145.20071437,-37.85081513
"75966","T20180013913",144.85010755,-37.80419545
"37719","T20170007925",145.17746729,-37.88366981
"49982","T20180008990",146.43813749,-38.14626196
"13434","T20150013061",144.64271087,-37.92513884
"65726","T20180018786",145.31441613,-38.18018815
"39796","T20160021176",145.14409953,-37.89383691
"63016","T20190001051",145.10530546,-37.70488868
"73372","T20170001859",145.10084793,-36.60337884
"61810","T20180023050",145.15227033,-37.83233205
"16651","T20150015690",146.42056473,-38.30833659
"32988","T20160021033",144.94397897,-37.72059806
"52224","T20180004425",144.9583916,-37.69200209
"21544","T20160000168",144.92253702,-36.2401123
"57056","T20180012059",144.92883258,-37.64054504
"68705","T20140024552",144.9784156,-37.79906979
"48428","T20170018935",145.00861974,-37.68225196
"46726","T20170005438",144.88903077,-37.68074694
"51739","T20180013032",147.39526427,-38.14723219
"26377","T20160005927",142.18191523,-34.21005836
"30905","T20160013174",145.07135101,-37.98217377
"18558","T20150023680",145.1758084,-38.22390659
"19815","T20150023802",145.33987972,-38.05062795
"11486","T20150008997",146.41303023,-38.33347653
"22732","T20150027129",144.89521995,-37.80370605
"59586","T20190006215",145.01445994,-37.73112383
"41271","T20170008976",145.37329885,-37.69478598
"35229","T20170003373",146.37714545,-37.94732006
"12021","T20150009258",144.6893296,-37.9693008
"7884","T20150001371",143.80881482,-37.57847858
"67946","T20190004441",144.24905633,-38.04202205
"60780","T20180021050",143.48526163,-36.75880258
"20643","T20150026126",145.0534204,-37.84842744
"28238","T20160011249",145.19403436,-38.11717222
"21593","T20160002184",144.9141045,-37.75052968
"52921","T20180012226",145.47677,-36.65492
"18898","T20150024817",145.10484603,-37.78789185
"77081","T20190006480",143.70502567,-37.17761987
"30458","T20160012525",144.78004146,-37.70161432
"75455","T20180006234",144.91525652,-37.69464348
"2222","T20140018502",144.7251855,-37.90491101
"14048","T20150011791",145.6017418,-38.08376923
"15488","T20150014502",145.34455028,-37.70407187
"20815","T20150025786",145.44327893,-37.91987651
"76275","T20180018732",144.74886387,-37.82494962
"23846","T20160001869",144.67420469,-37.74526929
"53015","T20180015654",145.01498833,-37.67288868
"61844","T20190000692",144.89544264,-37.73511209
"65274","T20190007655",145.31573419,-38.07202239
"33350","T20160027002",144.21350505,-37.05563503
"22526","T20150026371",144.6765483,-37.81033907
"9505","T20150003074",145.00376123,-37.71609857
"64753","T20190002647",145.08598236,-37.98368917
"76421","T20180021083",145.13505081,-37.78679977
"53533","T20180009022",145.27702293,-36.40639498
"17769","T20150022722",145.24135232,-37.87081829
"17089","T20150017462",145.22431977,-37.96355034
"31638","T20160018185",145.09160123,-37.87542672
"29889","T20160012010",142.2048828,-36.70938686
"75059","T20180000556",145.01814345,-38.37235385
"48343","T20170020255",145.1693518,-37.85502631
"24303","T20160002711",145.34050563,-38.04927707
"56624","T20170023494",142.46951876,-38.37728345
"66193","T20180020049",144.89348176,-37.79237056
"20997","T20160001226",144.95527797,-37.81540386
"45276","T20170018624",144.61404891,-37.6141053
"50533","T20170012081",144.74695834,-37.8540413
"53628","T20180009379",144.84026252,-37.64756193
"69405","T20150006723",145.22871149,-37.84791573
"25572","T20160004169",144.989693,-37.81956646
"32581","T20160015428",147.12794069,-36.25394041
"43550","T20170013199",144.97902106,-37.79510766
"18477","T20150021735",144.97478363,-37.77877462
"62775","T20180023559",144.73481008,-37.27701578
"56258","T20180012546",144.92888303,-37.73362733
"59112","T20180019831",144.07053556,-36.00203741
"75525","T20180007353",143.28194265,-38.26295798
"55419","T20180010414",144.96985768,-37.81662831
"48448","T20180005067",145.16858836,-38.22462392
"76412","T20180020860",144.22143682,-36.75578599
"43086","T20170013506",144.93609039,-37.75209484
"74315","T20170014741",145.13450442,-37.73575654
"22837","T20150027025",144.74518655,-38.34977127
"57046","T20180021843",145.01412197,-37.84173983
"54732","T20180008088",144.95902221,-37.81884318
"38086","T20160027796",145.36679354,-38.04404921
"15962","T20150015718",145.01774291,-37.65135737
"42285","T20170010512",145.14382071,-37.99537233
"76941","T20190004231",144.98957172,-37.82028951
"6122","T20140025828",145.00934344,-37.75647873
"62383","T20190015546",145.0906622,-37.8807848
"72226","T20160014781",143.96911345,-37.52299029
"49454","T20180007558",144.17672083,-35.86671603
"58372","T20180014375",144.96234162,-37.71696021
"3325","T20140020012",145.327764,-37.76117483
"15584","T20150017698",145.00732288,-37.81673634
"20418","T20160000133",146.53344785,-38.19461684
"64526","T20180015317",144.97980504,-37.790675
"14011","T20150014292",145.14836315,-37.71436919
"76749","T20190001453",144.96503908,-37.83667845
"6322","T20140026150",145.12542812,-37.79059896
"4787","T20140023240",144.99041699,-37.83764553
"59233","T20180017989",145.24364469,-38.05358096
"23967","T20160007286",144.88776064,-37.69777966
"57864","T20190001452",145.30927953,-37.89347351
"20733","T20160000699",144.70169226,-37.74093045
"44478","T20170016506",144.96591932,-37.74501301
"13324","T20150013804",146.56038267,-38.13085163
"60999","T20180006549",144.59058726,-37.48576746
"14848","T20150014478",143.91424458,-37.50836607
"10402","T20150006608",145.35088063,-37.64825834
"61035","T20180022971",145.17312771,-37.99260828
"52672","T20170016088",145.48858809,-38.19722279
"9517","T20150005222",145.4688761,-38.08587901
"19524","T20150022088",144.99346267,-37.85188782
"45075","T20170023032",144.94098925,-37.78846048
"27182","T20160007403",145.08684214,-37.99901367
"67620","T20190022611",144.74159108,-37.73180619
"45155","T20170016624",145.17294731,-37.91986246
"46182","T20180001160",145.18729725,-38.09232995
"27588","T20160007595",144.74903626,-37.41296312
"36665","T20170001046",145.14944228,-37.8668066
"47191","T20170020525",145.03003603,-37.61591035
"12926","T20150012123",142.17005639,-36.96663571
"56849","T20180014534",145.29746581,-38.01948629
"9735","T20150005143",145.50926314,-37.92617591
"56048","T20180012818",144.94750782,-37.83458513
"16073","T20150018670",144.87554011,-37.78549566
"16195","T20150015041",144.89314834,-37.7990081
"29950","T20160012151",145.21274986,-37.9882222
"27616","T20160011501",144.94556364,-37.54102887
"48083","T20170023552",144.78975302,-37.87871247
"5264","T20140024232",144.79192298,-37.72502791
"75547","T20180007766",144.53033551,-37.35404102
"12368","T20150010858",144.9890517,-37.90079957
"34235","T20160023013",144.97023169,-37.75723202
"67398","T20180024406",145.73636782,-38.12150467
"18287","T20150019671",147.0766231,-37.90468991
"11564","T20150009294",144.99437748,-37.89830579
"22064","T20160002914",145.11974189,-37.90960668
"9890","T20150003697",145.13670464,-37.9605086
"73852","T20170008592",145.01977844,-37.81684797
"21142","T20160001238",145.28231285,-38.01698814
"23976","T20160007450",144.35219157,-37.85639056
"3616","T20140021109",144.25381085,-36.78069043
"12915","T20150008992",144.9668569,-37.79315459
"22655","T20150026815",144.96158227,-37.81693245
"2985","T20140019186",-1,-1
"45547","T20170017324",145.17878018,-37.8631549
"70859","T20150024943",143.85832848,-37.5588537
"76798","T20190002301",144.95672001,-37.8368544
"36121","T20160023844",144.7748823,-37.77058209
"72052","T20160012636",145.05226345,-37.753513
"22278","T20160003818",144.71011252,-36.34894024
"38425","T20170004044",145.1164832,-38.05222229
"8279","T20150001087",144.84907132,-37.82532726
"76537","T20180023129",144.96567213,-37.8267265
"67325","T20190010829",145.25664273,-37.58560283
"63026","T20190002962",145.01318588,-37.68417026
"23800","T20160006900",145.15750492,-37.69262196
"19129","T20150020914",145.01010494,-37.6252626
"5000","T20140023749",-1,-1
"36449","T20170001304",145.10731115,-37.70369597
"11680","T20150007709",145.02580795,-37.64868575
"42068","T20170010247",143.70016091,-37.79023401
"36568","T20170006456",144.77518983,-37.7522614
"28979","T20160017746",145.19205013,-37.94403915
"51364","T20180002603",144.87535704,-37.69413628
"72640","T20160020280",145.06040208,-37.9890145
"19824","T20150022620",144.86542361,-38.36636366
"13516","T20150013236",144.97574164,-37.79298388
"20775","T20150023783",144.27507031,-36.75326093
"45485","T20170023989",143.04352005,-38.21903925
"40750","T20170007968",143.15770747,-36.70674466
"16776","T20150020072",145.16417762,-38.15266179
"30497","T20160012604",145.20443933,-36.05721498
"11300","T20150010129",145.32568113,-37.46063129
"29451","T20160010844",144.66480417,-37.8359225
"27670","T20160015134",145.29129166,-37.88872409
"39275","T20170005614",146.11663148,-38.20730302
"54137","T20180018295",143.25181596,-37.07812985
"7167","T20140026243",144.95878269,-37.81776116
"39190","T20160020286",144.90306582,-37.87048177
"29226","T20160017398",144.38758941,-37.76102421
"54817","T20180008332",145.30208473,-36.86358107
"22456","T20160000037",144.5638682,-37.66680376
"56582","T20180013905",145.22041479,-37.81668841
"25556","T20160006332",145.08738408,-37.89842106
"26716","T20160009992",145.17786395,-37.79499564
"44007","T20170000477",145.21050603,-37.98944603
"28946","T20160012492",144.74652455,-37.43340753
"56687","T20180021090",145.04287397,-37.74166956
"55630","T20180018502",144.60104783,-37.49303123
"37540","T20170002556",144.48949105,-38.27481412
"24869","T20160003496",145.21417523,-37.8810476
"8739","T20150003715",142.94931534,-37.28754901
"72992","T20160025133",145.43174341,-36.24971896
"50243","T20180000776",145.35658512,-37.92162608
"57100","T20180014023",144.99388968,-37.85195769
"5488","T20140024658",145.3282874,-37.76040613
"74073","T20170011755",142.62327588,-38.27876916
"37692","T20160018227",145.16230512,-37.99731074
"70473","T20150019804",144.81975316,-37.83830277
"26310","T20160011118",143.89464453,-37.56107769
"2369","T20140018896",-1,-1
"70854","T20150024838",143.85574436,-37.60345858
"75526","T20180007389",145.14247376,-37.86993319
"70074","T20150015138",145.21259774,-38.35488139
"15800","T20150014291",143.84591092,-37.56069189
"76020","T20180014804",145.19508143,-37.8327673
"77273","T20190009251",144.89210183,-37.72023895
"32981","T20160025891",-1,-1
"54436","T20170019605",145.13374744,-38.20531195
"55082","T20180017336",145.15291773,-37.78628636
"68844","T20140026644",144.91768425,-37.67507623
"39229","T20170005481",144.24402558,-37.48648681
"31292","T20160013917",143.83426181,-37.62135802
"25838","T20160006958",144.55928727,-37.43201269
"18862","T20150024630",145.03085422,-37.74100618
"55163","T20170020831",145.06210934,-37.66850566
"52212","T20170015286",145.30898139,-38.01710337
"76972","T20190004834",145.46197381,-36.34753513
"20618","T20160000416",145.25988247,-37.87228224
"34904","T20160025271",145.36637595,-36.39543923
"77099","T20190006808",145.87302606,-37.22057266
"37793","T20170002956",145.20305346,-38.03604082
"3615","T20140021107",144.69817219,-36.09365786
"68467","T20190012950",144.37827707,-38.16215089
"34573","T20160023884",144.75809575,-38.35904351
"73979","T20170010405",145.31143052,-37.98529465
"69261","T20150005115",144.07473996,-38.33408836
"27001","T20160009066",145.22487111,-37.96243183
"42539","T20170011339",144.9944101,-37.8394452
"15558","T20150014576",145.30364634,-37.84710656
"48600","T20170019238",144.99422729,-37.7936377
"28693","T20160017044",144.55563617,-36.83626584
"22614","T20150026674",144.89477151,-37.81409378
"205","T20140014353",-1,-1
"74115","T20170012354",144.71033902,-37.80698089
"55759","T20180012105",144.27060348,-36.76337801
"44406","T20170016277",145.16251294,-37.96303772
"18401","T20150019959",144.93308294,-37.59805039
"35432","T20160026243",145.01697545,-37.82774719
"28783","T20160009813",145.95145144,-38.06223416
"18255","T20150023687",145.23831109,-37.86965554
"70484","T20150019890",145.00668094,-37.80142554
"54604","T20180009762",144.92821125,-37.5650905
"53683","T20180017068",146.41216135,-38.28060907
"49925","T20180005797",144.95127285,-37.81283796
"39779","T20170013038",145.08713926,-37.84942654
"49934","T20180001943",145.11961422,-37.90972898
"70057","T20150014964",144.95819754,-37.81568421
"54747","T20180009297",145.15750421,-38.11268235
"25477","T20160004463",145.95264119,-36.29863444
"18553","T20150021740",144.34238142,-38.1956693
"12466","T20150012131",142.00830288,-36.79432604
"47631","T20180001075",144.98520777,-37.79372328
"28385","T20160011613",144.56547172,-37.48859814
"44674","T20170015463",145.45327525,-37.5805114
"7762","T20150001103",144.781183,-37.78367101
"73804","T20170007890",144.96778457,-37.79279427
"76940","T20190004212",145.48551486,-38.1536295
"66599","T20190011269",144.91800046,-37.68091654
"13309","T20150012859",145.03419245,-37.82877159
"70044","T20150014754",144.91785963,-37.75473107
"31923","T20160019756",145.13439539,-37.62733996
"22451","T20160001827",144.46344913,-36.77859492
"4036","T20140022137",-1,-37.5794139
"14648","T20150012077",145.01386985,-37.66525304
"68820","T20140026318",145.05135365,-37.70919981
"48159","T20170023700",145.00588357,-37.66290851
"31334","T20160013942",149.03536885,-37.56715559
"4779","T20140022145",-1,-1
"61510","T20180020268",145.47444102,-38.07528883
"77173","T20190007780",144.9268413,-37.74348211
"55233","T20180008782",144.75753072,-36.3573578
"65969","T20190009550",145.1129859,-38.2802628
"64422","T20190004742",144.75183591,-37.79391687
"8802","T20150005577",144.85241571,-37.73949657
"25426","T20160004384",147.05216075,-37.62336718
"14799","T20150014315",144.89239627,-37.80329233
"15144","T20150016677",144.92268488,-37.66283881
"62688","T20180010317",144.56689951,-37.67658777
"8361","T20150002834",145.03173426,-37.68713681
"16555","T20150016393",145.60603141,-37.11578998
"68399","T20190011287",147.89427511,-37.82662495
"68758","T20140025328",145.33769721,-37.76102656
"40460","T20160022622",147.27698937,-37.5120832
"35419","T20160025534",145.09464585,-37.93296931
"7596","T20150001600",144.37997189,-36.76687075
"74228","T20170013679",145.13585682,-38.14663968
"22854","T20160004888",144.31718855,-38.19758961
"61786","T20180021331",145.05560958,-37.92068555
"65313","T20190007713",145.64465784,-37.76627514
"67377","T20190011209",144.89100354,-37.7274138
"627","T20140014774",-1,-1
"20340","T20150025548",144.71002947,-37.72099435
"69173","T20150004034",144.98876546,-37.8246506
"14369","T20150014976",145.63190775,-35.96826297
"22774","T20150026969",145.30378762,-37.93338721
"35729","T20170004412",142.0155506,-37.6789543
"75307","T20180004005",144.97848999,-37.82328999
"35604","T20160022943",144.80661926,-38.37808198
"74213","T20170013530",145.05773056,-37.85989298
"68128","T20190007110",145.19430938,-37.96667969
"15117","T20150014006",146.89469616,-36.11126643
"52859","T20170016688",144.19358845,-36.75377932
"63135","T20180011455",144.99317468,-37.75870679
"5837","T20140025485",142.48145339,-38.38094185
"33707","T20160023945",144.80857072,-37.82126654
"41302","T20170008851",145.00093632,-37.64921302
"519","T20140014547",-1,-1
"530","T20140015046",-1,-1
"17778","T20150018822",145.30677287,-38.02624041
"7888","T20150000335",144.57488326,-37.73756704
"13266","T20150012660",145.24568202,-38.04144626
"77487","T20190016287",144.59041462,-37.49204502
"28264","T20160011460",145.22581018,-36.44127472
"27074","T20160012778",145.08378065,-37.91721317
"13588","T20150012365",146.23941332,-38.62178356
"72552","T20160019214",144.49003913,-38.26574624
"19906","T20150023985",145.34818629,-38.03006321
"50716","T20180003330",147.4470137,-37.83211061
"47540","T20170017092",145.15836406,-37.86068858
"24821","T20160006834",144.92498169,-37.7663691
"15081","T20150017230",142.20494176,-36.72302821
"43725","T20170020816",144.85175891,-37.73764221
"43023","T20160026821",144.98118684,-37.85758375
"65911","T20190006638",145.11838705,-37.79657393
"76185","T20180017257",145.02614786,-37.6473674
"53974","T20170018715",145.0524581,-37.70090691
"75334","T20180004350",145.25449627,-38.04622018
"12960","T20150012075",146.64987781,-38.4401318
"31049","T20160014524",145.18082903,-37.99987124
"63502","T20190000562",144.38737788,-38.1789095
"54701","T20180006590",144.25855686,-36.72099891
"16149","T20150014914",143.45164,-38.4492281
"34330","T20160023342",145.31691409,-38.07213866
"73958","T20170010060",144.21680349,-37.06563646
