"","ACCIDENT_NO","LONGITUDE","LATITUDE"
"64727","T20190006973",147.83490789,-37.39356122
"74088","T20170011934",144.92525624,-37.75085825
"19956","T20150026667",145.06317417,-37.78483041
"9562","T20150004962",145.21802065,-37.96443076
"19247","T20150025240",145.14219283,-38.04316324
"52185","T20180002765",145.14568532,-38.35691224
"30088","T20160014486",145.1189896,-38.04773587
"34052","T20160022657",145.06061965,-38.23713941
"31984","T20160015302",145.15910764,-37.93541119
"37655","T20170001671",145.20022297,-36.70691529
"35673","T20170004302",146.58496057,-36.53478619
"24190","T20160003226",144.40479851,-38.17402173
"8100","T20150004281",145.15977561,-37.67416493
"21084","T20150024233",145.26904722,-37.97935984
"69739","T20150010647",144.57089552,-36.80276486
"65696","T20180018740",146.20502439,-36.63723027
"21628","T20150025675",145.04142287,-37.7147224
"22019","T20150025508",144.95809635,-37.75472298
"59767","T20190006742",144.70380446,-37.74737622
"64064","T20190001046",145.02109549,-37.88681505
"26797","T20160010118",145.27964686,-38.1126516
"55639","T20180011978",145.13711743,-37.73312754
"36146","T20170005076",144.31972646,-37.51797622
"19308","T20150020749",145.02516359,-37.64959183
"68911","T20150000345",145.12473012,-38.12307847
"58613","T20190003400",144.39146989,-38.17049411
"35925","T20160026636",145.00913165,-37.7840036
"37575","T20160026690",145.6912338,-37.02245003
"59605","T20190002438",144.66622697,-37.90382817
"13631","T20150010584",145.3617823,-37.81334032
"34273","T20160020101",144.73124605,-37.85273765
"52042","T20180004046",144.73988003,-37.87288995
"24683","T20160008027",145.08295587,-37.89235206
"75608","T20180008566",145.1205449,-38.17731149
"4790","T20140023284",-1,-1
"14588","T20150013944",145.0185921,-37.77625666
"38161","T20160018816",144.9698614,-37.81673711
"22150","T20160003585",144.87940605,-37.54788751
"43968","T20170021245",145.24237929,-37.79864488
"64835","T20190006019",146.99808373,-36.45678377
"64173","T20180014300",145.24045043,-37.89784776
"46975","T20180002023",144.60612788,-38.26816615
"44329","T20170014537",146.40838284,-38.23047786
"6104","T20140024497",145.1835987,-38.28467746
"56744","T20180011443",145.28640746,-37.86153831
"51950","T20180005940",145.09559736,-37.85040546
"42301","T20170011056",143.24141305,-37.02685539
"55955","T20180011592",143.80917819,-37.57723561
"35955","T20160027518",144.88314695,-37.70250506
"10620","T20150007055",146.18155557,-37.31773204
"74383","T20170015667",145.18065552,-37.70556922
"63708","T20190001102",145.15272764,-37.7055405
"33713","T20160022474",145.08349137,-37.73244129
"40126","T20170003432",145.21186298,-37.98266019
"6169","T20140025145",145.76319511,-37.86619042
"60082","T20180019913",145.02219424,-37.68612574
"55346","T20180020984",144.9590482,-37.78801582
"27607","T20160010000",143.74142092,-37.31891879
"22508","T20160001478",144.78547909,-38.37944417
"63855","T20180013158",147.60994087,-37.82495912
"46386","T20140018812",-1,-1
"23977","T20160007452",145.32058827,-38.02794596
"52906","T20180015515",144.63056287,-37.8888562
"14174","T20150014571",145.95350781,-38.16157399
"69437","T20150007070",144.04085886,-37.76891794
"24934","T20160007003",145.06382493,-37.68620983
"60878","T20180019514",144.97110675,-37.79399566
"70425","T20150019294",143.87035316,-37.56205422
"72551","T20160019198",144.86738364,-37.70692273
"70452","T20150019599",145.28906853,-37.58040298
"73145","T20160027120",144.94730247,-37.75342518
"42531","T20170012413",144.34796536,-38.07613006
"68149","T20190007365",145.17537761,-37.98047231
"53832","T20180005769",143.83900982,-37.55985066
"39255","T20170006481",144.35936308,-38.09086416
"68161","T20190007506",142.43310293,-37.47804783
"14635","T20150015456",143.55260074,-35.34083425
"43349","T20170012745",144.9276625,-37.80858154
"19537","T20150021670",144.74907015,-37.74926232
"28374","T20160011477",144.98799017,-37.82904075
"21527","T20150025311",145.41140117,-38.17421599
"76255","T20180018480",144.95217998,-37.82183837
"19220","T20150021553",145.12063242,-38.17775533
"60025","T20180017399",145.05664703,-37.9134624
"19382","T20150025592",145.24262543,-37.85758526
"21233","T20150024680",145.33126639,-38.05108114
"22447","T20160003670",145.17329007,-37.96499432
"36592","T20170005720",145.35385287,-37.91705599
"21228","T20150026589",144.24422917,-36.79520196
"73942","T20170009913",144.26808225,-36.75839214
"9704","T20150004009",145.9350333,-38.03575677
"48965","T20180004030",144.98852588,-37.77775162
"65441","T20190008143",144.74282878,-37.65986329
"9898","T20150005781",145.01914036,-37.90135291
"19475","T20150025779",144.74698717,-37.88618051
"72858","T20160023289",145.00869959,-37.69752386
"54800","T20180006687",145.76548585,-38.5072787
"54988","T20180009712",144.30626046,-36.72971251
"974","T20140015818",-1,-1
"23939","T20160002898",144.72165926,-37.85188886
"45920","T20180000529",145.14605767,-38.09705236
"75801","T20180011574",145.01912279,-37.65974261
"877","T20140015946",141.7889841,-36.36096203
"53933","T20180017730",146.01131778,-36.56425293
"5388","T20140023770",-1,-1
"39380","T20170006731",144.9526064,-37.50244493
"76062","T20180015452",145.04756437,-37.65589139
"36674","T20160016469",145.06536921,-37.81092582
"50127","T20180009158",146.42410607,-38.2256699
"15549","T20150015888",145.20040231,-37.98389591
"36459","T20160027604",144.88103278,-37.71137307
"21815","T20150025134",144.85585527,-37.66815868
"1676","T20140016755",-1,-1
"14458","T20150015131",145.431834,-36.04939471
"33417","T20160026911",143.84170191,-35.99001794
"40939","T20160023400",145.03232739,-37.66559393
"41701","T20170016960",143.71778059,-37.66124537
"34327","T20170000805",144.9792643,-37.41638011
"35120","T20170003337",145.90909512,-37.27527503
"69580","T20150008728",145.48110889,-38.08369224
"68999","T20150001636",145.18410914,-38.09572626
"7572","T20150000876",145.09831475,-37.82043392
"57330","T20170024613",145.24363964,-37.85275585
"47527","T20180003231",144.90418957,-36.8463943
"55038","T20180017262",145.03964134,-37.84108307
"23466","T20160002035",144.9761817,-37.74239311
"45835","T20140016973",-1,-1
"47843","T20180001652",144.97865077,-37.77627541
"41287","T20170009997",144.95042553,-37.81101576
"66187","T20190010043",144.93184606,-37.79460817
"73184","T20160027736",142.15741159,-34.18959452
"46286","T20140017624",-1,-1
"21603","T20150025538",145.7177317,-36.63753979
"38658","T20170005331",144.96992671,-37.7756109
"72341","T20160016273",145.31346848,-37.77384236
"1369","T20140016694",144.90451108,-37.86311382
"8867","T20150003737",144.99446782,-37.89717348
"70433","T20150019382",144.32756613,-38.14431384
"68489","T20190016848",144.66329784,-37.88260843
"4001","T20140021946",144.58415099,-37.92530999
"41090","T20170014891",144.94194785,-37.8317047
"72051","T20160012634",144.69498989,-36.87839676
"36042","T20160015680",145.00936831,-37.77055109
"52382","T20170015542",145.00338339,-37.84713479
"13005","T20150012163",145.17839917,-36.75286012
"34709","T20160024142",143.50936712,-35.34974999
"53173","T20180015958",145.02569279,-37.77572331
"20121","T20150022162",143.69376639,-37.47730435
"68462","T20190012207",145.02729121,-37.44792725
"60184","T20190003585",145.05284163,-37.83092825
"31558","T20160022502",145.30738089,-37.80527766
"70225","T20150016812",142.48339086,-38.38829528
"65818","T20190006345",144.96601546,-37.75562611
"7309","T20150000364",145.243347,-38.15939887
"36679","T20170005941",144.3808047,-38.09390084
"35216","T20160026792",144.78250351,-37.72764522
"55086","T20180017433",146.74748599,-38.41587178
"6856","T20140027083",145.38196799,-38.21410872
"71795","T20160009503",142.53887517,-36.44924992
"55935","T20170022032",147.07188009,-37.98230117
"39889","T20170013226",144.38399676,-38.17075655
"14227","T20150014726",144.8471564,-37.77909433
"26620","T20160009842",145.02153921,-37.88929536
"10470","T20150006335",145.81803484,-38.27992181
"42832","T20170019100",145.1273253,-37.88484794
"33240","T20160026665",147.05410031,-36.21025528
"64884","T20190007388",142.14674493,-34.198016
"63195","T20190000089",145.02095778,-37.98057254
"72186","T20160014229",145.28776925,-38.03093466
"43398","T20170012855",145.24593671,-37.98263929
"10600","T20150006720",144.95648438,-37.81177041
"5310","T20140023071",146.96184602,-36.72796178
"12810","T20150009553",143.27554041,-38.74759494
"20851","T20150025910",145.12421893,-37.82903166
"72695","T20160021014",145.17078825,-38.15637121
"16079","T20150015460",145.11826241,-37.7992209
"71492","T20160005719",145.28819579,-38.11970457
"10819","T20150007333",144.9971955,-37.82557486
"21609","T20150025579",144.75603446,-37.86923371
"59737","T20180017516",145.1477863,-37.89699863
"13810","T20150011047",145.23826052,-38.00196416
"62745","T20190002047",144.94490337,-37.84377751
"42428","T20170011209",143.83559821,-37.33712486
"76694","T20190000686",145.32426503,-38.13349784
"16234","T20150015144",145.00261,-37.84802471
"24723","T20160004335",145.04181568,-37.76776387
"10323","T20150006601",146.93577498,-36.17288671
"40805","T20170014358",145.67686237,-38.09214375
"20479","T20150023789",145.05512513,-37.8993974
"69563","T20150008492",144.35334349,-38.16153031
"44284","T20170012020",144.71491145,-37.57171325
"66776","T20180021638",144.96399605,-37.7559116
"68934","T20150000656",145.00412604,-37.73756004
"26399","T20160012703",144.35266759,-38.11053691
"66924","T20190008766",145.2601709,-37.80127222
"49183","T20170021921",145.06319892,-37.77845774
"71695","T20160008245",147.81488051,-36.46523425
"37234","T20170001960",144.92001475,-37.74691905
"21753","T20160000461",145.17171492,-38.01183784
"36252","T20170005302",145.17132394,-37.6500455
"39386","T20170002204",142.51910824,-37.13886972
"56994","T20180013942",143.22621439,-35.90664396
"7125","T20150000462",144.92461471,-37.73395683
"48354","T20170022042",142.73085327,-34.63023611
"28204","T20160008882",144.8425745,-37.83530597
"47440","T20180000555",144.97685861,-37.84050564
"12565","T20150011240",144.8977344,-37.82913993
"43610","T20170020527",145.27963408,-38.11254004
"658","T20140015249",144.65349914,-37.88915395
"56476","T20180010484",144.31773999,-38.19631
"61045","T20180023119",145.20165763,-37.87668428
"20825","T20160000896",146.96697361,-37.92826985
"40425","T20170008654",143.83316067,-37.57060172
"66960","T20190008975",144.89214512,-37.79198413
"56709","T20180023699",144.88146118,-37.82762239
"36540","T20160024734",145.40354328,-36.38063937
"7044","T20150000575",144.95552483,-37.03834763
"27532","T20160007243",145.134258,-37.75745916
"66578","T20190008452",144.75409079,-37.76220306
"14365","T20150014871",144.89192053,-37.72126207
"75834","T20180011925",145.224469,-35.92843463
"23057","T20160005247",145.28330914,-38.08309247
"60799","T20190005062",145.01636469,-38.4762904
"60794","T20180022443",144.99176497,-37.80709979
"952","T20140015525",-1,-1
"51885","T20180000440",144.68965547,-37.88427084
"59195","T20180015880",145.06451046,-37.58246954
"49718","T20170022677",144.92263126,-37.6630126
"56753","T20180023853",145.19701406,-37.80168639
"30055","T20160012285",144.94829108,-37.74990851
"11774","T20150009677",144.66898254,-37.74480334
"18822","T20150020759",145.04960739,-38.22537692
"26674","T20160011919",145.22920255,-37.8553592
"13567","T20150011690",144.91066898,-37.80686857
"6204","T20140024762",145.05769681,-37.96566519
"22545","T20160001627",144.88066863,-38.36267696
"47913","T20170007518",145.00962531,-37.78409785
"68135","T20190007233",144.92545578,-37.76415842
"1512","T20140016474",-1,-1
"61566","T20180020342",146.02421003,-38.0501103
"60568","T20180005792",142.49363329,-38.36705883
"29106","T20160012976",145.41625434,-36.38400662
"20456","T20150022773",144.99954027,-37.81672126
"64414","T20190006118",144.61086601,-37.69611617
"27477","T20160014678",141.62743812,-34.19163012
"48192","T20170007986",145.34554896,-38.04232519
"45274","T20170018579",145.35582706,-37.75755176
"27841","T20160014368",145.06032463,-37.66737991
"70372","T20150018621",144.80857468,-37.80528516
"66436","T20190010861",145.16372136,-37.90390729
"12610","T20150008291",145.25675415,-37.79586705
"64719","T20180015854",145.5449651,-38.29475368
"57762","T20180015459",145.18737954,-37.83244048
"47867","T20170007498",144.91978675,-37.82995468
"58959","T20180019333",145.72874537,-37.86856
"62984","T20190009862",147.3387592,-36.1763748
"12231","T20150010496",145.0116694,-37.769632
"431","T20140014811",-1,-1
"41406","T20170009184",145.13669401,-37.96051686
"37598","T20170002667",145.18079564,-38.00000596
"58556","T20180001913",144.97667888,-37.39123762
"26945","T20160007051",146.26108428,-38.19515913
"34993","T20170002492",144.72751638,-37.57503814
"31061","T20160013462",144.35007869,-37.2140609
"14302","T20150012231",145.06395943,-37.79343372
"57089","T20170024305",144.96635754,-37.48865991
"36925","T20170007127",144.93658058,-37.78377771
"33502","T20160021584",145.27110744,-38.08156114
"27823","T20160010294",142.85145662,-38.45905505
"75633","T20180008870",144.3576896,-38.07577113
"22356","T20160003937",144.81123561,-37.82372075
"58248","T20190002408",145.1885276,-37.96153484
"60084","T20180019937",145.47854712,-37.90969783
"76003","T20180014523",144.89947806,-37.69694374
"5074","T20140023796",147.32785987,-36.58852438
"49788","T20180008326",144.90116185,-37.69568131
"26732","T20160013315",144.33571818,-38.23106463
"15444","T20150014400",145.80336146,-37.03174036
"69975","T20150013811",145.13358423,-37.58742356
"20638","T20150023559",145.00532415,-37.66427054
"25195","T20160005504",144.96171007,-37.81466756
"72819","T20160022643",145.15893734,-37.80481893
"70053","T20150014884",145.12364318,-37.6787539
"10918","T20150005527",145.17103694,-37.95173554
"62928","T20180023943",144.94537797,-37.75314924
"927","T20140015780",145.28218319,-38.10329269
"21062","T20150024892",145.41623779,-37.56275122
"57797","T20180000405",146.12884523,-37.06401646
"70890","T20150025347",145.10762914,-38.00057231
"57948","T20180015807",146.16954386,-38.62062629
"7025","T20140026916",145.23046956,-37.80776558
"54493","T20170019687",145.06927284,-37.98183475
"70309","T20150017806",145.09281334,-37.10812877
"19361","T20150025494",144.98425961,-37.79653777
"8142","T20150004313",145.16249499,-37.9636727
"61673","T20190000170",143.01483388,-37.30962881
"57289","T20180022209",146.22964857,-36.46452419
"44021","T20170014329",144.96473234,-37.81156097
"35145","T20160026643",142.1466026,-34.20668577
"63053","T20180011251",144.94849069,-37.73916842
"63278","T20180011847",144.92474941,-37.66135397
"1827","T20140017210",-1,-1
"56657","T20170023512",145.15649528,-37.93271199
"46869","T20140021950",145.12222515,-38.07560894
"70603","T20150021494",145.02328304,-37.94055343
"19353","T20150020808",145.33363811,-38.06043035
"77164","T20190007715",145.44696852,-38.52505533
"54015","T20180014620",145.10937253,-37.91219343
"38417","T20170005068",145.07464311,-37.78810149
"48643","T20170024501",144.7519504,-36.12862949
"64380","T20190004671",142.92700721,-37.29071212
"21318","T20150024304",144.96945416,-37.8157568
"42658","T20170011649",145.00823439,-37.90633931
"1300","T20140016800",145.24112778,-38.03654902
"67981","T20190004922",144.96219692,-37.71579209
"67354","T20190010952",145.48340139,-37.77619723
"1207","T20140016489",-1,-1
"6689","T20150001324",145.34124332,-37.75711933
"31513","T20160017144",147.09719218,-36.3003362
"26737","T20160006693",145.0991742,-37.91127611
"37501","T20170008186",144.86825309,-37.72863857
"37247","T20170007069",142.21162878,-36.70655988
"41877","T20170009803",145.16535461,-37.91258799
"10968","T20150009500",144.95209703,-37.83274543
"30722","T20160012960",144.88245076,-37.72104222
"66449","T20190008011",145.30371584,-38.02638937
"16886","T20150018758",145.07652357,-37.95474482
"57872","T20180013384",144.94853099,-37.73900855
"71626","T20160007512",141.02957231,-35.23613896
"53171","T20180003374",144.10084219,-37.56699463
"31654","T20160023163",144.78768369,-37.6986536
"52163","T20180000844",147.70628132,-37.8257192
"14838","T20150014330",144.32653237,-38.18915801
"73854","T20170008599",144.95784385,-37.31481946
"58307","T20190002563",145.03166817,-37.93273041
"50878","T20180001844",145.27799295,-37.15301896
"43919","T20170021204",144.35032825,-38.20603155
"40311","T20160022301",144.35334378,-38.11081151
"51795","T20180000131",145.13376773,-36.30595725
"25958","T20160011567",144.94009385,-37.78919531
"38924","T20170005884",145.31203122,-38.02052207
"62103","T20190000951",144.95845113,-37.7937918
"9318","T20150004518",145.02627618,-37.77898557
"33706","T20160023910",144.54392656,-37.43035606
"24953","T20160003230",144.73977364,-37.7559055
"23257","T20160005201",144.23582113,-36.790957
"7753","T20150000117",145.70188324,-37.22279861
"56633","T20180010703",144.35061519,-38.16753714
"60576","T20190004496",144.99352316,-37.85002166
"55454","T20180018126",145.08196167,-37.8488839
"48690","T20170019310",144.99364535,-37.84955771
"66051","T20190006098",144.66436401,-37.87579675
"25291","T20160003657",144.95692904,-37.81035316
"12176","T20150011422",144.98823505,-37.7882564
"66522","T20190007628",145.02970157,-37.81384649
"56224","T20180010336",145.10661785,-38.17382258
"14726","T20150013398",145.21998097,-37.95590844
"57717","T20180013129",145.23104364,-37.98674516
"24734","T20160004436",142.461518,-38.37357606
"53001","T20180007798",145.18104281,-37.66127555
"16925","T20150018915",145.27992389,-38.09764684
"38819","T20170011026",144.99160617,-37.85717047
"62880","T20190009456",145.29237373,-37.79721056
"66220","T20190010201",145.15345769,-38.35484046
"49688","T20180001386",142.02389379,-36.06556427
"38742","T20170004546",145.00101811,-37.81875121
"25121","T20160003389",145.15658081,-37.93317505
"72676","T20160020704",144.689246,-37.81927622
"73284","T20170000790",145.15576978,-37.93310714
"1813","T20140017460",-1,-1
"36162","T20170000922",145.10954246,-37.5657065
"3093","T20140020344",-1,-1
"34810","T20160026049",145.01874407,-37.73238539
"36228","T20160027996",144.88392192,-37.7838581
"63630","T20180024575",144.99439518,-37.80529039
"12547","T20150009054",-1,-1
"4577","T20140023139",145.23291116,-37.87743229
"72948","T20160024634",145.0173837,-37.78339885
"20405","T20150025682",144.16043969,-36.63269235
"35730","T20170004419",144.06218283,-38.35945217
"54246","T20170019190",144.85390495,-37.84628426
"37770","T20160027039",144.89151867,-37.71288495
"189","T20140014053",-1,-1
"56747","T20180011454",145.03422609,-37.71329331
"3075","T20140020059",146.84646085,-38.28287422
"46031","T20170018016",144.49299435,-38.28545885
"11702","T20150010749",144.9584689,-37.69198674
"61194","T20180021779",145.16398248,-38.1075824
"55973","T20170022035",145.01054438,-37.69946574
"42010","T20160024972",144.9541489,-37.81906981
"8557","T20150005200",145.02222039,-37.86544768
"43089","T20170013564",144.52512861,-37.43028873
"44509","T20170022082",145.04473548,-38.22946276
"50559","T20180010466",144.95646382,-37.8117263
"60315","T20190007988",144.98923377,-37.74376718
"57414","T20180016141",146.92963746,-37.72826002
"43998","T20170014233",145.13030098,-37.89350628
"33207","T20160026577",144.49206836,-36.88567512
"45046","T20170023178",145.39839394,-37.98153603
"45953","T20170023717",145.05650938,-37.93556325
"16158","T20150016097",144.39028656,-38.02230732
"69774","T20150011084",145.21869842,-38.03271918
"43733","T20170020955",145.40026498,-36.37667037
"22875","T20160000125",145.14646356,-36.04850361
"38136","T20160027855",145.29430312,-37.88292488
"44367","T20170016127",145.33930277,-37.76028308
"53934","T20180017771",144.9754168,-37.82245766
"28598","T20160012106",144.98870873,-37.82530086
"48368","T20180004859",145.39945208,-38.14299381
"2130","T20140017750",-1,-1
"70858","T20150024933",142.28734965,-38.34788855
"46823","T20140021539",145.16133072,-38.18309394
"43581","T20170014469",144.95776806,-37.7995621
"21356","T20150027110",143.48088796,-38.76351505
"75859","T20180012311",144.8757976,-37.82493039
"3826","T20140021815",145.20568529,-38.01346421
"28236","T20160011243",145.75841945,-37.45237196
"68206","T20190008166",142.49665153,-38.13339128
"71728","T20160008586",145.2665753,-38.06601885
"41769","T20170009629",143.88589907,-37.63431479
"33410","T20160018466",145.19540973,-38.07171361
"56701","T20180014325",144.29230892,-38.16513923
"26697","T20160006637",144.54173082,-37.323323
"765","T20140015105",145.13044268,-37.91310388
"74676","T20170019988",145.07368399,-37.87703861
"59167","T20180017867",144.81510273,-37.72909428
"14090","T20150014404",142.13758043,-36.87706389
"62237","T20190012275",144.98082788,-37.72976168
"58822","T20180015361",144.57134759,-37.70290281
"2068","T20140017888",145.01918492,-37.90135595
"17369","T20150017077",145.02639198,-37.86592905
"26906","T20160012364",144.70432088,-37.20319777
"61716","T20180022795",144.96285453,-37.77994628
"65180","T20190003806",146.08711875,-38.70268285
"47135","T20170019729",145.23552239,-37.98658236
"54152","T20180006625",144.96830566,-37.60299837
"10521","T20150006851",144.7736085,-37.77873394
"26291","T20160007772",144.99430116,-37.84604486
"28072","T20160014919",144.92053123,-37.82939495
"1514","T20140016496",145.04638735,-37.87683055
"53827","T20180017423",145.33027652,-38.10307145
"34878","T20160025268",145.11229651,-37.84957192
"67701","T20190001441",145.01456,-37.80758999
"16731","T20150020023",143.62883912,-36.42043117
"35398","T20160027194",147.49453008,-37.98585996
"44446","T20170022040",145.89539766,-38.73239046
"72400","T20160017147",144.99626912,-38.28174929
"46926","T20170020064",143.42932409,-38.4091456
"67575","T20190000338",144.89438163,-37.84670823
"39973","T20160021570",145.09238165,-37.83527634
"69095","T20150002985",145.04928641,-37.95711468
"26344","T20160012535",144.92149388,-38.35123518
"76526","T20180022952",145.42311408,-37.85188051
"32367","T20160024330",144.3699477,-38.17949141
"37241","T20170006972",145.00371101,-37.73950719
"67914","T20190004084",144.84300928,-37.78613457
"28048","T20160016025",144.96550446,-37.81334525
"72371","T20160016842",144.98825423,-38.32002417
"43693","T20170010738",144.77755694,-37.87119983
"19376","T20150023555",144.92865424,-37.64081244
"63456","T20180012197",145.1485981,-38.12396982
"70564","T20150020946",144.93316298,-37.74482071
"27517","T20160010041",145.65432714,-38.57815099
"63248","T20190003455",146.03000727,-37.89249164
"23251","T20160005658",144.36443419,-36.79322572
"29511","T20160011538",145.06171296,-37.93575363
"16360","T20150015356",145.12838487,-38.09323717
"9168","T20150003303",145.58500733,-37.90796209
"33487","T20160018543",145.04123501,-37.80809117
"8961","T20150002998",144.96883841,-37.80815428
"33952","T20160023192",144.79639926,-37.77016453
"16381","T20150019837",144.73121592,-36.15517614
"31337","T20160013962",144.98298872,-37.82401341
"53898","T20180005977",145.42990786,-38.12106353
"65531","T20190005695",145.00162633,-37.6842742
"98","T20140013830",-1,-1
"74659","T20170019701",143.88606979,-38.39991002
"19551","T20150023790",144.33986095,-38.20867407
"61705","T20190010843",145.09875836,-37.88536124
"52925","T20180012301",145.20517056,-38.49650318
"59627","T20180018557",144.9719808,-37.76994615
"41926","T20170016848",143.36767321,-35.14831622
"76465","T20180021890",144.95597003,-37.81037847
"45811","T20140016592",144.66015558,-36.29403079
"28523","T20160009300",145.03442465,-37.82739816
"22204","T20160003105",144.93678745,-37.84174939
"20019","T20150021995",144.35224791,-38.17514354
"35085","T20160024842",142.84989788,-37.14947318
"33011","T20160022032",145.23051036,-37.80759564
"44059","T20170000625",145.53900927,-38.07478119
"7516","T20150000543",145.27788324,-37.80607008
"75290","T20180003784",144.97712684,-37.85973064
"2618","T20140018982",-1,-1
"66244","T20190011323",145.34442161,-38.07856622
"43847","T20170013861",145.08971264,-37.88206667
"33128","T20160026483",145.02797875,-37.71266208
"47671","T20170022448",144.98723355,-37.78673146
"46372","T20140018656",145.14699307,-37.87940819
"69581","T20150008744",144.78877335,-37.84483788
"34181","T20160023678",144.88208133,-37.76975602
"65730","T20180018821",144.46598377,-37.54883611
"22033","T20160003298",145.12628605,-38.14645618
"64417","T20190006173",144.96566358,-37.74128498
"32860","T20160021707",142.7765023,-34.58662471
"16527","T20150019697",143.3815221,-37.30243765
"9199","T20150006181",145.8508067,-37.0836711
"13229","T20150012656",145.41017442,-38.0052564
"28193","T20160015313",144.88314331,-37.78853588
"13440","T20150013946",144.9694363,-37.81569952
"33214","T20160022498",145.08979452,-37.7031727
"69473","T20150007529",145.01923426,-37.90137567
"66447","T20190007983",146.0402655,-37.99728539
"54433","T20180016033",144.99402525,-37.6885832
"17883","T20150019020",147.53525429,-37.82859703
"66026","T20190010641",145.00942583,-37.69478732
"51827","T20180005578",145.18264846,-38.19492141
"67290","T20190010131",145.05654737,-37.95727736
"1996","T20140017904",144.79281899,-37.780008
"9345","T20150004456",145.08113432,-37.93043158
"47297","T20170006435",146.98087167,-37.9347831
"11923","T20150011051",145.26493039,-38.02786754
"42235","T20160025295",144.22180654,-38.06174013
"60330","T20190004059",146.55125642,-37.11420922
"48649","T20180003483",144.96055569,-37.83307518
"21484","T20150025221",145.98910661,-37.88816532
"19455","T20150021074",144.96734364,-37.80715127
"48507","T20170008646",144.36746079,-38.17930498
"15818","T20150018666",145.03722647,-37.66140872
"5464","T20140024598",144.99417409,-37.80736607
"1926","T20140017230",-1,-1
"53597","T20170018281",142.20572464,-36.69703313
"53061","T20180012543",145.1660721,-37.94145789
"57656","T20180013066",145.25312452,-38.00387448
"73179","T20160027641",144.91248358,-37.69373603
"19546","T20150021731",145.58507197,-36.76383343
"71878","T20160010476",145.17165619,-37.93483194
"48895","T20170021431",145.29432675,-38.08995216
"50686","T20180010871",146.41351416,-35.99136504
"41868","T20170017263",145.11297576,-37.8610646
"65820","T20190006394",144.98697269,-37.80101183
"14775","T20150016722",144.96396226,-37.7559533
"21653","T20150025507",144.98779946,-37.76541336
"65134","T20190004635",144.71497323,-38.32030813
"12577","T20150010488",146.29498247,-37.22493047
"60697","T20180018535",142.20557412,-36.73345757
"75237","T20180003038",142.16890258,-34.29255098
"73787","T20170007708",144.94993786,-37.51344
"71798","T20160009575",144.91014026,-37.59381292
"66003","T20180019631",145.12436908,-37.9139675
"39046","T20170004336",144.37158632,-38.10068822
"51224","T20180011964",144.7189882,-37.87472744
"47845","T20180001660",145.183314,-38.06349399
"59689","T20180017239",144.90102505,-37.65423395
"58458","T20180016627",145.21057273,-37.96935778
"43608","T20170020506",144.82183058,-37.77331424
"32359","T20160024214",145.17274746,-37.99140709
"38190","T20170009756",144.74773973,-37.78278212
"24287","T20160008125",145.16020824,-37.95122741
"11498","T20150008426",143.56066513,-35.34281471
"66270","T20190006782",147.24691164,-36.21143644
"19873","T20150022685",145.02604108,-37.78939687
"20882","T20150023500",144.76907869,-37.69509582
"12813","T20150008648",145.28114249,-38.09280824
"26514","T20160008443",144.93339965,-37.81654954
"70249","T20150017099",144.33305062,-36.78870616
"64205","T20190005590",145.37463356,-38.05150981
"32563","T20160020181",145.13409568,-37.63105372
"2463","T20140018587",145.0878623,-38.00846434
"54077","T20170018944",144.99711816,-37.8037767
"55548","T20180018282",145.19582316,-37.90742872
"14467","T20150015220",144.95512545,-37.72088117
"36805","T20160025241",143.65286156,-37.1434995
"16290","T20150019112",145.97741855,-36.02221398
"55341","T20180011289",145.31028387,-38.02699536
"34862","T20170002159",144.98606909,-37.80661446
"1742","T20140017421",145.04195667,-37.87553569
"43532","T20170020279",144.96704187,-37.80001243
"5308","T20140023008",145.21132906,-37.98536977
"59156","T20180019877",144.24175,-36.81065999
"53095","T20180003106",144.7746892,-37.77020436
"3598","T20140021334",-1,-1
"24150","T20160007847",144.72953145,-37.86985703
"4102","T20140021271",-1,-1
"44744","T20170017150",145.06260091,-37.78540057
"2012","T20140017835",144.809645,-37.82013245
"62860","T20190000721",144.90836448,-37.76941093
"46621","T20170016423",144.9673401,-37.81756771
"4864","T20140023251",-1,-1
"57854","T20180015671",145.36411814,-37.78001668
"30575","T20160015533",144.94974465,-37.74710339
"29645","T20160018506",-1,-1
"37694","T20170002724",144.48133176,-36.84207654
"51764","T20180002101",144.91525705,-37.60151717
"26831","T20160010152",145.03963646,-37.79199198
"43505","T20170014370",145.13480127,-37.75282011
"21273","T20150024242",146.5264562,-38.19231393
"34024","T20170000615",144.85341213,-37.66983584
"22630","T20160002238",144.97912273,-37.8059498
"34351","T20160025092",145.25963832,-37.87256574
"1290","T20140016393",-1,-1
"50156","T20180009349",145.38898595,-36.44238801
"33866","T20160028093",145.00474146,-37.84060953
"4757","T20140022433",-1,-1
"39521","T20170011260",145.02871198,-37.68748922
"47824","T20180003624",144.96434305,-37.73167444
"40221","T20170006412",144.98014229,-37.7190955
"10079","T20150004107",144.9456812,-37.75329523
"22909","T20160002688",145.03737409,-37.93345383
"43498","T20170020229",145.0406873,-37.87539277
"10635","T20150005021",145.03605024,-37.97020792
"50915","T20170012651",145.00760938,-37.74569259
"41659","T20170006671",144.97258033,-37.7668812
"29718","T20160019252",145.34353317,-38.21342175
"39232","T20160020336",145.12825677,-37.77818676
"32166","T20160020483",145.07507331,-37.73715468
"22165","T20160003031",145.87372142,-37.55890373
